Name,Longitude,Latitude,Ellipsoidal height,Antenna height,Easting,Northing,Code,Elevation
p1_018,7.691184816369731,46.47280645005006,2445.856725,2.0,399522.5193440369,5147413.856498234,EPSG:32632,2443.856725
p1_020,7.691370430023721,46.47276939903124,2447.244375,2.0,399536.7005552818,5147409.503559486,EPSG:32632,2445.244375
p1_019,7.691431207937993,46.47289244918122,2444.140042,2.0,399541.5928749611,5147423.098954054,EPSG:32632,2442.140042
p1_017,7.691246754699714,46.47292686578302,2441.189262,2.0,399527.49592790974,5147427.157683944,EPSG:32632,2439.189262
p1_015,7.691071861086499,46.472973760776334,2437.460935,2.0,399514.1558511462,5147432.590820828,EPSG:32632,2435.460935
p1_016,7.691013676951746,46.472854992086624,2442.407748,2.0,399509.4704796535,5147419.467881359,EPSG:32632,2440.407748
p1_014,7.690846168486274,46.47290646188827,2437.307369,2.0,399496.70577371,5147425.399991838,EPSG:32632,2435.307369
p1_013,7.690909805386174,46.47302444886042,2431.825388,2.0,399501.8083323504,5147438.429125891,EPSG:32632,2429.825388
p1_011,7.690728604921278,46.4730524243417,2427.094196,2.0,399487.9492965358,5147441.768108445,EPSG:32632,2425.094196
p1_012,7.690668091568386,46.47293792544983,2433.086057,2.0,399483.0929245258,5147429.122588579,EPSG:32632,2431.086057
p1_010,7.690505840570152,46.472997874449966,2427.354344,2.0,399470.74748852797,5147435.990229022,EPSG:32632,2425.354344
p1_009,7.690576472542672,46.47311218111154,2421.030259,2.0,399476.38032105874,5147448.601505963,EPSG:32632,2419.030259
p1_007,7.690415563503011,46.473169796378286,2415.683756,2.0,399464.1336550911,5147455.208141446,EPSG:32632,2413.683756
p1_008,7.690346221660885,46.473055845553226,2421.537678,2.0,399458.6004993521,5147442.634772398,EPSG:32632,2419.537678
p1_006,7.690185880912238,46.47310553164503,2415.1893,2.0,399446.38286022213,5147448.359673139,EPSG:32632,2413.1893
p1_005,7.69025407953788,46.47322239609054,2409.870533,2.0,399451.8336406886,5147461.258232214,EPSG:32632,2407.870533
p1_003,7.690084631266143,46.47326596155697,2404.731267,2.0,399438.90559973876,5147466.314648009,EPSG:32632,2402.731267
p1_004,7.690010932659407,46.47315594790234,2411.272885,2.0,399433.0451905796,5147454.184323874,EPSG:32632,2409.272885
p1_002,7.689843866868203,46.473221645045406,2409.051961,2.0,399420.34082683106,5147461.696900113,EPSG:32632,2407.051961
p1_001,7.689925941448615,46.47333694506937,2402.026842,2.0,399426.8540050294,5147474.40394344,EPSG:32632,2400.026842
a6_014,7.690158083082168,46.47367518431126,2397.875333,2.0,399445.2982164676,5147511.691806118,EPSG:32632,2395.875333
a6_013,7.689995625014857,46.47374451371239,2396.017192,2.0,399432.95437893906,5147519.602091047,EPSG:32632,2394.017192
a6_012,7.689901091589584,46.47363146948992,2392.222346,2.0,399425.4889736328,5147507.161553158,EPSG:32632,2390.222346
a6_011,7.690063490216697,46.47356309564816,2394.328821,2.0,399437.8300252589,5147499.357505719,EPSG:32632,2392.328821
a6_010,7.689820635748407,46.47351168288849,2394.112547,2.0,399419.09182506095,5147493.953925961,EPSG:32632,2392.112547
a6_009,7.689986389028892,46.47344296519052,2395.553455,2.0,399431.6897938624,5147486.107388459,EPSG:32632,2393.553455
a6_008,7.689750376485844,46.47339574507558,2401.004827,2.0,399413.4845159784,5147481.160980896,EPSG:32632,2399.004827
a6_007,7.689926078481602,46.473335678979694,2402.198698,2.0,399426.86219214974,5147474.263087902,EPSG:32632,2400.198698
a6_006,7.689670568240786,46.47328520324504,2408.236814,2.0,399407.15406732477,5147468.979771018,EPSG:32632,2406.236814
a6_005,7.689845962327037,46.47322942719863,2408.648535,2.0,399420.5160310775,5147462.558943772,EPSG:32632,2406.648535
a6_004,7.689598756883211,46.47317670234828,2416.05563,2.0,399401.4412653943,5147457.015163227,EPSG:32632,2414.05563
a6_003,7.689774762107639,46.47312257385041,2415.849942,2.0,399414.85320255946,5147450.776612561,EPSG:32632,2413.849942
a6_002,7.689528117746507,46.47306495211477,2424.586278,2.0,399395.8124433917,5147444.688019217,EPSG:32632,2422.586278
a6_001,7.689702949148068,46.47301935593969,2423.793385,2.0,399409.1500127879,5147439.399016953,EPSG:32632,2421.793385
a5_014,7.689532581468211,46.47306638865141,2424.468396,2.0,399396.1577653005,5147444.841955778,EPSG:32632,2422.468396
a5_013,7.689347851934525,46.473098485233045,2427.645196,2.0,399382.03546884644,5147448.643589599,EPSG:32632,2425.645196
a5_011,7.68937693876732,46.473208671499,2419.612517,2.0,399384.4715226452,5147460.849855778,EPSG:32632,2417.612517
a5_012,7.689560642762853,46.47317641895456,2416.587268,2.0,399398.51477510895,5147457.0322031975,EPSG:32632,2414.587268
a5_010,7.689602643201481,46.473285759427526,2409.271843,2.0,399401.9405918733,5147469.128053462,EPSG:32632,2407.271843
a5_009,7.689416892795853,46.47331792072788,2411.535997,2.0,399387.74009803287,5147472.938165943,EPSG:32632,2409.535997
a5_007,7.689471406084296,46.47344478106962,2403.052867,2.0,399392.1588090606,5147486.96479114,EPSG:32632,2401.052867
a5_008,7.689653118000973,46.47339646925626,2402.403241,2.0,399406.0194818517,5147481.365271676,EPSG:32632,2400.403241
a5_006,7.689732049303518,46.47350588679127,2396.817508,2.0,399412.28052810644,5147493.422671185,EPSG:32632,2394.817508
a5_005,7.689556042168869,46.47355762259556,2396.19505,2.0,399398.8641334814,5147499.395368511,EPSG:32632,2394.19505
a5_003,7.689643774503873,46.47367311730322,2392.495254,2.0,399405.81201350444,5147512.116818346,EPSG:32632,2390.495254
a5_004,7.689817022321983,46.47361741631632,2391.4728,2.0,399419.0092523772,5147505.707058756,EPSG:32632,2389.4728
a5_002,7.689887926014331,46.47373706105134,2393.270967,2.0,399424.67283094,5147518.911081931,EPSG:32632,2391.270967
a5_001,7.689712780067641,46.473792874756406,2391.116687,2.0,399411.330108523,5147525.33577087,EPSG:32632,2389.116687
a4_013,7.688834840030604,46.47330521456445,2423.161265,2.0,399343.0334031398,5147472.267685876,EPSG:32632,2421.161265
a4_014,7.688661802518074,46.47336760707936,2421.543766,2.0,399329.86465025134,5147479.420869323,EPSG:32632,2419.543766
a4_012,7.688719673673148,46.47347410184469,2413.28483,2.0,399334.5037128128,5147491.180262364,EPSG:32632,2411.28483
a4_011,7.688893861286678,46.473410842956966,2414.908852,2.0,399347.75913844863,5147483.92935671,EPSG:32632,2412.908852
a4_009,7.688987725302091,46.4735248569892,2405.990028,2.0,399355.17513111816,5147496.478414078,EPSG:32632,2403.990028
a4_010,7.688813745863645,46.47358323412608,2405.357285,2.0,399341.9267044987,5147503.1866047,EPSG:32632,2403.357285
a4_008,7.68887157770778,46.47368473053436,2398.610863,2.0,399346.55349305714,5147514.390666163,EPSG:32632,2396.610863
a4_007,7.689048189731145,46.473632724990416,2398.81038,2.0,399360.0157447683,5147508.387109233,EPSG:32632,2396.81038
a4_005,7.689116071362963,46.47374140111243,2392.482186,2.0,399365.42723271914,5147520.376154862,EPSG:32632,2390.482186
a4_006,7.688939862744233,46.473796165905775,2392.14771,2.0,399352.00105925114,5147526.685779358,EPSG:32632,2390.14771
a4_004,7.688993784125498,46.47391664617352,2387.318903,2.0,399356.362617983,5147540.004214596,EPSG:32632,2385.318903
a4_003,7.689169506957525,46.4738582858642,2387.266548,2.0,399369.74484447984,5147533.295703466,EPSG:32632,2385.266548
a4_002,7.689087239174316,46.47403786024694,2385.571501,2.0,399363.76040854247,5147553.3538333,EPSG:32632,2383.571501
a4_001,7.689257511071486,46.47397551095026,2387.297121,2.0,399376.7168047669,5147546.209045213,EPSG:32632,2385.297121
a3_013,7.689396732022927,46.47392203998233,2387.184459,2.0,399387.3058897537,5147540.090338683,EPSG:32632,2385.184459
a3_014,7.689231061050523,46.47399284958793,2387.559469,2.0,399374.71826569806,5147548.169308294,EPSG:32632,2385.559469
a3_012,7.689178340113159,46.47386567801882,2386.964206,2.0,399370.43657249527,5147534.105829798,EPSG:32632,2384.964206
a3_011,7.689344213116,46.47379429526728,2388.554501,2.0,399383.038674165,5147525.962909631,EPSG:32632,2386.554501
a3_010,7.689118352930045,46.473744704921685,2392.08877,2.0,399365.6084744673,5147520.740350427,EPSG:32632,2390.08877
a3_009,7.689276486790347,46.47367818443343,2393.693298,2.0,399377.6254436666,5147513.147545581,EPSG:32632,2391.693298
a3_008,7.689039449857301,46.47363160739484,2399.222772,2.0,399359.34274192835,5147508.274060664,EPSG:32632,2397.222772
a3_007,7.689198550283637,46.47356078341982,2399.930763,2.0,399371.42599721346,5147500.201832333,EPSG:32632,2397.930763
a3_006,7.688968671094104,46.47351805155766,2406.813501,2.0,399353.69982769125,5147495.74650303,EPSG:32632,2404.813501
a3_005,7.68913245732781,46.47344663386846,2406.840804,2.0,399366.14172815846,5147487.602325241,EPSG:32632,2404.840804
a3_004,7.688897431235196,46.473412496696014,2414.884322,2.0,399348.03624654573,5147484.108563495,EPSG:32632,2412.884322
a3_003,7.689060027619182,46.4733422025606,2414.235845,2.0,399360.3888929973,5147476.090733344,EPSG:32632,2412.235845
a3_002,7.688836536750295,46.4733019172724,2423.282701,2.0,399343.15757756354,5147471.899146857,EPSG:32632,2421.282701
a3_001,7.689000026833531,46.47323570072245,2420.88053,2.0,399355.5863694532,5147464.33324823,EPSG:32632,2418.88053
a2_013,7.689001438953298,46.47323395541392,2421.074104,2.0,399355.69155793265,5147464.137520107,EPSG:32632,2419.074104
a2_014,7.689177996597776,46.47318457139211,2423.54256,2.0,399369.1545900281,5147458.425344462,EPSG:32632,2421.54256
a2_012,7.689232943290694,46.47329281757168,2415.712171,2.0,399373.57231174235,5147470.3830986265,EPSG:32632,2413.712171
a2_011,7.689053423460818,46.47334497296514,2414.034843,2.0,399359.88701016456,5147476.4069780195,EPSG:32632,2412.034843
a2_010,7.689285897156443,46.47339690398466,2408.469127,2.0,399377.82936331764,5147481.881182928,EPSG:32632,2406.469127
a2_009,7.689111989089569,46.47345284348943,2406.746459,2.0,399364.5818656856,5147488.318375544,EPSG:32632,2404.746459
a2_008,7.689341703830322,46.473505906514966,2401.628889,2.0,399382.3144661989,5147493.9218898,EPSG:32632,2399.628889
a2_007,7.689166783738961,46.473560015366175,2399.845016,2.0,399368.9859250353,5147500.156949608,EPSG:32632,2397.845016
a2_006,7.689402042009665,46.4736183657098,2395.163466,2.0,399387.1537981516,5147506.340915443,EPSG:32632,2393.163466
a2_005,7.689228540695767,46.473673559920144,2394.145382,2.0,399373.9361975967,5147512.694757414,EPSG:32632,2392.145382
a2_004,7.689465552664918,46.473732151056026,2390.633246,2.0,399392.239099713,5147518.903260003,EPSG:32632,2388.633246
a2_003,7.689296360335012,46.47378844613562,2389.214381,2.0,399379.3543424454,5147525.373926404,EPSG:32632,2387.214381
a2_002,7.68954271648498,46.4738530416592,2389.859196,2.0,399398.385597843,5147532.237722342,EPSG:32632,2387.859196
a2_001,7.689366603937803,46.47390454492948,2387.168333,2.0,399384.960782683,5147538.184748535,EPSG:32632,2385.168333
a1_014,7.689542097425917,46.47385271300891,2389.851414,2.0,399398.33746843104,5147532.201992723,EPSG:32632,2387.851414
a1_013,7.68971615494566,46.47379488863598,2391.574511,2.0,399411.5929013437,5147525.555245751,EPSG:32632,2389.574511
a1_012,7.689468600394093,46.47373042373369,2390.595329,2.0,399392.4698836587,5147518.707448303,EPSG:32632,2388.595329
a1_011,7.689639076351143,46.47367245486292,2392.627919,2.0,399405.4501253607,5147512.049193203,EPSG:32632,2390.627919
a1_010,7.689402239300341,46.47361222364727,2395.382735,2.0,399387.15762286424,5147505.65819108,EPSG:32632,2393.382735
a1_009,7.689565920249658,46.473550109683536,2396.731667,2.0,399399.60860884405,5147498.547996397,EPSG:32632,2394.731667
a1_008,7.689337758955485,46.4734985302466,2401.84512,2.0,399381.998029077,5147493.107302106,EPSG:32632,2399.84512
a1_007,7.689509662876572,46.473437260720246,2402.813764,2.0,399395.081855218,5147486.080456059,EPSG:32632,2400.813764
a1_006,7.689282095910797,46.47338239840504,2409.379122,2.0,399377.5108094849,5147480.274241655,EPSG:32632,2407.379122
a1_005,7.68945943588111,46.473326169708535,2410.355971,2.0,399391.0212666306,5147473.800574273,EPSG:32632,2408.355971
a1_004,7.689216968382489,46.473274273763934,2416.971918,2.0,399372.31175875256,5147468.342955749,EPSG:32632,2414.971918
a1_003,7.689390971552975,46.47322271248961,2418.475323,2.0,399385.5746794975,5147462.392145383,EPSG:32632,2416.475323
a1_001,7.689333855122362,46.4731195063232,2426.414138,2.0,399380.9996987487,5147450.997165296,EPSG:32632,2424.414138
a1_002,7.689154375419526,46.4731658770902,2424.837581,2.0,399367.3067621718,5147456.378219195,EPSG:32632,2422.837581
